Gene,Module
TF,c1_2
TF,c1_660
TF,c1_1066
FA2H,c1_3
FA2H,c1_14
FA2H,c1_667
FA2H,c1_261
FA2H,c1_1070
FA2H,c1_79
PITPNA,c1_793
PITPNA,c1_3
PITPNA,c1_15
PITPNA,c1_397
PITPNA,c1_117
SLC1A3,c1_14
SLC1A3,c1_81
SLC1A3,c1_278
SLC1A3,c1_3
LYNX1,c1_303
LYNX1,c1_3
LYNX1,c1_88
LYNX1,c1_15
CA14,c1_2
CA14,c1_9
CA14,c1_242
CA14,c1_63
SLC6A7,c1_3
SLC6A7,c1_335
SLC6A7,c1_15
SLC6A7,c1_99
RPS23,c1_184
RPS23,c1_546
RPS23,c1_4
RPS23,c1_17
RPS23,c1_911
OCLN,c1_9
OCLN,c1_64
OCLN,c1_2
RSPO2,c1_3
RSPO2,c1_391
RSPO2,c1_115
RSPO2,c1_15
CPNE6,c1_582
CPNE6,c1_4
CPNE6,c1_186
CPNE6,c1_957
CPNE6,c1_17
MAPK3,c1_1040
MAPK3,c1_614
MAPK3,c1_4
MAPK3,c1_17
MAPK3,c1_188
ITK,c1_4
ITK,c1_598
ITK,c1_994
ITK,c1_17
ITK,c1_187
SMURF1,c1_17
SMURF1,c1_968
SMURF1,c1_186
SMURF1,c1_586
SMURF1,c1_4
STMN3,c1_3
STMN3,c1_349
STMN3,c1_15
STMN3,c1_102
HCN1,c1_15
HCN1,c1_86
HCN1,c1_3
HCN1,c1_704
HCN1,c1_292
CCDC141,c1_41
CCDC141,c1_223
CCDC141,c1_6
CCDC141,c1_2
DNAH1,c1_646
DNAH1,c1_53
DNAH1,c1_233
DNAH1,c1_8
DNAH1,c1_2
SLC12A5,c1_986
SLC12A5,c1_594
SLC12A5,c1_4
SLC12A5,c1_17
SLC12A5,c1_186
ALG10,c1_561
ALG10,c1_184
ALG10,c1_4
ALG10,c1_17
CCN2,c1_1118
CCN2,c1_16
CCN2,c1_171
CCN2,c1_4
CCN2,c1_867
CCN2,c1_502
RPL29,c1_551
RPL29,c1_17
RPL29,c1_4
RPL29,c1_184
GALNT10,c1_580
GALNT10,c1_954
GALNT10,c1_17
GALNT10,c1_186
GALNT10,c1_4
PALM,c1_149
PALM,c1_464
PALM,c1_15
PALM,c1_3
PALM,c1_855
SH3GL2,c1_350
SH3GL2,c1_15
SH3GL2,c1_102
SH3GL2,c1_3
KIF3C,c1_367
KIF3C,c1_15
KIF3C,c1_3
KIF3C,c1_106
KIF3C,c1_771
SEPTIN2,c1_2
WDR63,c1_651
WDR63,c1_53
WDR63,c1_2
WDR63,c1_8
WDR63,c1_234
UNC5B,c1_262
UNC5B,c1_3
UNC5B,c1_670
UNC5B,c1_14
UNC5B,c1_79
NAPG,c1_15
NAPG,c1_86
NAPG,c1_3
LAMA5,c1_9
LAMA5,c1_2
LAMA5,c1_64
LHFPL5,c1_712
LHFPL5,c1_15
LHFPL5,c1_87
LHFPL5,c1_298
LHFPL5,c1_3
FBXO44,c1_415
FBXO44,c1_3
FBXO44,c1_126
FBXO44,c1_819
FBXO44,c1_15
TMEM63C,c1_385
TMEM63C,c1_3
TMEM63C,c1_112
TMEM63C,c1_15
MGA,c1_15
MGA,c1_155
MGA,c1_3
MGA,c1_475
GPBP1,c1_184
GPBP1,c1_17
GPBP1,c1_921
GPBP1,c1_1129
GPBP1,c1_550
GPBP1,c1_4
CLEC1A,c1_16
CLEC1A,c1_510
CLEC1A,c1_4
CLEC1A,c1_172
SLAIN1,c1_79
SLAIN1,c1_262
SLAIN1,c1_670
SLAIN1,c1_14
SLAIN1,c1_3
LIME1,c1_208
LIME1,c1_5
LIME1,c1_26
LIME1,c1_634
GDAP1,c1_340
GDAP1,c1_100
GDAP1,c1_15
GDAP1,c1_3
PPP2R5B,c1_4
PPP2R5B,c1_16
PPP2R5B,c1_174
PPP2R5B,c1_519
FGFR2,c1_2
FGFR2,c1_11
FGFR2,c1_72
FGFR2,c1_660
FGFR2,c1_253
FGFR2,c1_1066
PLEKHG2,c1_65
PLEKHG2,c1_9
PLEKHG2,c1_2
AABR07007642.1,c1_1023
AABR07007642.1,c1_188
AABR07007642.1,c1_4
AABR07007642.1,c1_608
AABR07007642.1,c1_17
NCOA1,c1_961
NCOA1,c1_4
NCOA1,c1_17
NCOA1,c1_584
NCOA1,c1_1147
NCOA1,c1_186
TTC3,c1_123
TTC3,c1_3
TTC3,c1_15
TPP1,c1_10
TPP1,c1_249
TPP1,c1_2
TPP1,c1_69
TP73,c1_237
TP73,c1_2
TP73,c1_54
TP73,c1_8
KCNQ3,c1_86
KCNQ3,c1_3
KCNQ3,c1_15
KCNQ3,c1_293
RRAGA,c1_186
RRAGA,c1_963
RRAGA,c1_584
RRAGA,c1_4
RRAGA,c1_17
TMEM30A,c1_550
TMEM30A,c1_1129
TMEM30A,c1_4
TMEM30A,c1_17
TMEM30A,c1_921
TMEM30A,c1_184
SLC8A2,c1_135
SLC8A2,c1_1104
SLC8A2,c1_3
SLC8A2,c1_829
SLC8A2,c1_431
SLC8A2,c1_15
WDR26,c1_549
WDR26,c1_4
WDR26,c1_17
WDR26,c1_184
GPRC5B,c1_3
GPRC5B,c1_82
GPRC5B,c1_14
GRIA2,c1_3
GRIA2,c1_798
GRIA2,c1_399
GRIA2,c1_119
GRIA2,c1_15
GABRB3,c1_3
GABRB3,c1_119
GABRB3,c1_399
GABRB3,c1_798
GABRB3,c1_15
FAM49A,c1_184
FAM49A,c1_930
FAM49A,c1_17
FAM49A,c1_4
FAM49A,c1_555
CCDC152,c1_184
CCDC152,c1_569
CCDC152,c1_4
CCDC152,c1_17
CCDC152,c1_950
ISLR2,c1_3
ISLR2,c1_92
ISLR2,c1_15
ISLR2,c1_310
ISLR2,c1_729
LRFN5,c1_3
LRFN5,c1_15
LRFN5,c1_345
LRFN5,c1_101
DMXL1,c1_17
DMXL1,c1_547
DMXL1,c1_184
DMXL1,c1_915
DMXL1,c1_4
SLC9A2,c1_3
SLC9A2,c1_113
SLC9A2,c1_15
PTTG1IP,c1_2
RBM47,c1_6
RBM47,c1_2
RBM47,c1_40
RBM47,c1_221
RBM47,c1_636
ABCA3,c1_138
ABCA3,c1_15
ABCA3,c1_436
ABCA3,c1_3
ABCA3,c1_831
USP9X,c1_184
USP9X,c1_915
USP9X,c1_4
USP9X,c1_17
USP9X,c1_547
KCNE2,c1_6
KCNE2,c1_40
KCNE2,c1_2
KCNE2,c1_221
KCNE2,c1_636
KPNA3,c1_363
KPNA3,c1_3
KPNA3,c1_15
KPNA3,c1_762
KPNA3,c1_105
GGT7,c1_15
GGT7,c1_3
GGT7,c1_414
GGT7,c1_126
GGT7,c1_817
MAP9,c1_105
MAP9,c1_15
MAP9,c1_764
MAP9,c1_363
MAP9,c1_3
PLXNB2,c1_2
PLXNB2,c1_10
CLIP2,c1_3
CLIP2,c1_334
CLIP2,c1_99
CLIP2,c1_15
TLN1,c1_11
TLN1,c1_255
TLN1,c1_2
TLN1,c1_73
CACNA2D2,c1_1169
CACNA2D2,c1_599
CACNA2D2,c1_17
CACNA2D2,c1_999
CACNA2D2,c1_4
CACNA2D2,c1_1182
CACNA2D2,c1_187
FCHO1,c1_5
FCHO1,c1_18
EFHD2,c1_881
EFHD2,c1_4
EFHD2,c1_16
EFHD2,c1_519
EFHD2,c1_174
MLLT11,c1_15
MLLT11,c1_768
MLLT11,c1_3
MLLT11,c1_366
MLLT11,c1_106
TEKT5,c1_1020
TEKT5,c1_188
TEKT5,c1_17
TEKT5,c1_608
TEKT5,c1_4
